Year,Month,Domestic,International,Total
2007,1,"50,022,168","12,072,442","62,094,610"
2007,2,"47,766,421","10,591,580","58,358,001"
2007,3,"59,244,232","13,247,375","72,491,607"
2007,4,"57,398,267","12,795,517","70,193,784"
2007,5,"59,285,571","12,972,589","72,258,160"
2007,6,"61,493,934","14,170,877","75,664,811"
2007,7,"63,457,403","15,470,687","78,928,090"
2007,8,"62,660,179","15,131,296","77,791,475"
2007,9,"52,310,402","12,332,434","64,642,836"
2007,10,"57,208,618","12,392,938","69,601,556"
2007,11,"55,047,116","12,023,481","67,070,597"
2007,12,"53,291,139","13,123,756","66,414,895"
2008,1,"50,245,100","12,794,514","63,039,614"
2008,2,"50,118,363","11,677,400","61,795,763"
2008,3,"59,213,077","14,221,964","73,435,041"
2008,4,"55,611,053","12,983,854","68,594,907"
2008,5,"58,047,400","13,628,619","71,676,019"
2008,6,"59,559,171","14,447,504","74,006,675"
2008,7,"61,401,480","15,488,628","76,890,108"
2008,8,"58,966,473","15,369,492","74,335,965"
2008,9,"47,680,101","11,759,694","59,439,795"
2008,10,"52,956,023","11,952,515","64,908,538"
2008,11,"47,658,141","11,288,311","58,946,452"
2008,12,"50,253,800","12,499,216","62,753,016"
2009,1,"44,825,056","12,075,267","56,900,323"
2009,2,"43,680,328","10,412,676","54,093,004"
2009,3,"53,534,891","12,508,793","66,043,684"
2009,4,"52,247,781","12,629,805","64,877,586"
2009,5,"52,951,246","11,806,548","64,757,794"
2009,6,"55,898,027","13,199,636","69,097,663"
2009,7,"59,468,957","14,953,615","74,422,572"
2009,8,"56,568,180","14,844,821","71,413,001"
2009,9,"48,235,025","11,659,775","59,894,800"
2009,10,"52,279,405","11,905,529","64,184,934"
2009,11,"48,584,832","11,093,714","59,678,546"
2009,12,"49,793,527","12,659,154","62,452,681"
2018,1,"55,831,159","17,897,787","73,728,946"
2018,2,"54,078,219","15,720,901","69,799,120"
2018,3,"66,644,135","19,716,774","86,360,909"
2018,4,"64,557,780","19,111,955","83,669,735"
2018,5,"67,846,119","20,126,585","87,972,704"
2018,6,"70,279,158","22,046,732","92,325,890"
2018,7,"72,540,389","23,754,573","96,294,962"
2018,8,"70,338,563","22,909,627","93,248,190"
2018,9,"60,468,575","18,051,374","78,519,949"
2018,10,"67,082,086","18,830,854","85,912,940"
2018,11,"64,660,022","17,552,376","82,212,398"
2018,12,"63,646,582","19,520,179","83,166,761"
2019,1,"58,034,262","18,690,817","76,725,079"
2019,2,"55,679,481","16,280,536","71,960,017"
2019,3,"70,234,684","20,295,947","90,530,631"
2019,4,"66,938,654","20,019,304","86,957,958"
2019,5,"71,365,660","20,995,113","92,360,773"
2019,6,"72,790,418","22,747,453","95,537,871"
2019,7,"75,281,916","23,907,859","99,189,775"
2019,8,"72,729,540","23,239,338","95,968,878"
2019,9,"63,991,365","18,842,310","82,833,675"
2019,10,"69,936,836","18,973,444","88,910,280"
2019,11,"64,827,107","17,555,127","82,382,234"
2019,12,"69,737,246","19,610,834","89,348,080"
2020,1,"61,627,591","18,780,246","80,407,837"
2020,2,"59,861,339","15,605,471","75,466,810"
2020,3,"34,417,329","8,844,908","43,262,237"
2020,4,"2,879,554","392,940","3,272,494"
2020,5,"8,238,727","366,354","8,605,081"
2020,6,"16,207,064","785,024","16,992,088"
2020,7,"22,873,879","1,809,616","24,683,495"
2020,8,"23,910,181","2,210,546","26,120,727"
2020,9,"23,849,618","2,189,137","26,038,755"